Subject,Segmentation,DiceOverlap,HausdorffDistance,HausdorffAverageDistance,LogAbsoluteVolumetricDifference,Recall,Precision,F1
CHB_train_Case01_,ewDavid,0.630145797033448,35.7526222814495,1.07479481212577,0.347837182632246,0.725490196078431,0.327272727272727,0.45106671181849
CHB_train_Case01_,ewDavid5,0.607901779894326,31.2289929392544,0.761705311899293,0.414096644704152,0.470588235294118,0.909090909090909,0.62015503875969
CHB_train_Case01_,ewDavidT1,0.416347078332451,54.5573093178173,3.96596754292307,0.263237140074433,0.274509803921569,0.21,0.237960339943343
CHB_train_Case01_,ewDavid5T1,0.00105370733596125,34.8926926447358,8.54018539890525,5.71415959108795,0.0980392156862745,0.0777777777777778,0.0867410161090459
CHB_train_Case01_,sysu,0.516571428571429,18.7149672722129,1.29512152017488,0.287994181322984,0.843137254901961,0.741935483870968,0.789305666400639
CHB_train_Case02_,ewDavid,0.434214837350807,43.4885042281291,1.41417037443366,0.450579353838981,0.6,0.4,0.48
CHB_train_Case02_,ewDavid5,0.242195875638519,24.0052077683156,1.89953533207816,1.53634720999179,0.4,0.769230769230769,0.526315789473684
CHB_train_Case02_,ewDavidT1,0.152369171689945,55.1407290484992,16.4808939254495,0.0726810379162004,0.15,0.0545454545454545,0.08
CHB_train_Case02_,ewDavid5T1,0.000675029532542049,48.9438453740611,16.691046679324,3.82927381666713,0.05,0.0280373831775701,0.0359281437125748
CHB_train_Case02_,sysu,0.340664533462946,32.962099447699,2.00339439340037,0.869909187284012,0.55,0.477272727272727,0.511061946902655
CHB_train_Case03_,ewDavid,0.344926863245879,41.5120464443756,3.22036230475007,0.24274525415006,0.529411764705882,0.304347826086957,0.386503067484663
CHB_train_Case03_,ewDavid5,0.235594839942666,54.8839685154053,7.29110546504436,1.85645268137065,0.176470588235294,0.857142857142857,0.292682926829268
CHB_train_Case03_,ewDavidT1,0.0926711268104574,41.5842518268635,8.88570427109096,0.547547743670086,0.176470588235294,0.0615384615384615,0.091254752851711
CHB_train_Case03_,ewDavid5T1,0,47.3154308867625,17.1439928488234,3.70345875636705,0,0,0
CHB_train_Case03_,sysu,0.267812840043526,36.2698221666443,3.78347806411688,1.31231266554361,0.294117647058824,0.545454545454545,0.382165605095541
CHB_train_Case04_,ewDavid,0.152099071451054,53.3689984916337,11.206818033308,1.20793467574561,0.608695652173913,0.086734693877551,0.151834130781499
CHB_train_Case04_,ewDavid5,0.147822987600128,51.3663313854513,5.52837427358759,1.96933376660905,0.434782608695652,0.52,0.473588342440802
CHB_train_Case04_,ewDavidT1,0.159143410632796,60.2847410212568,15.8424413289227,0.493084360426089,0.217391304347826,0.0865384615384615,0.123796423658872
CHB_train_Case04_,ewDavid5T1,0.000923690563661174,45.8393935387457,13.5373745459299,4.00091928711125,0.0869565217391304,0.032051282051282,0.0468384074941452
CHB_train_Case04_,sysu,0.146736575664437,38.7040049607273,8.07386750950705,1.7017277963443,0.304347826086957,0.409090909090909,0.349030470914127
CHB_train_Case05_,ewDavid,0.290300993718204,44.5449211470848,6.50728778253615,0.188114390690825,0.964285714285714,0.171717171717172,0.291521117815179
CHB_train_Case05_,ewDavid5,0.112352387162211,38.9197893108377,3.22240780711104,2.3434269384339,0.607142857142857,0.590909090909091,0.598915989159892
CHB_train_Case05_,ewDavidT1,0.153997848691287,39.7586468582622,6.3973272292536,0.873926335281021,0.535714285714286,0.265957446808511,0.355450236966825
CHB_train_Case05_,ewDavid5T1,0.000538230172550261,33.3841279652472,11.0791991218171,5.75209633493475,0.142857142857143,0.0571428571428571,0.0816326530612245
CHB_train_Case05_,sysu,0.230792215678526,35.1069793630839,2.69612300770977,0.434540225533686,0.892857142857143,0.493506493506494,0.635664101706256
CHB_train_Case06_,ewDavid,0.297614807354549,40.1652835169876,5.6886743002648,0.489846427298537,0.544444444444444,0.383177570093458,0.449792902720251
CHB_train_Case06_,ewDavid5,0.249359199552416,41.5030119388943,2.94630663102778,1.417603607486,0.311111111111111,0.719298245614035,0.434354899735149
CHB_train_Case06_,ewDavidT1,0.0714044530955171,37.2927606915873,8.23412973469061,0.813228207965666,0.188888888888889,0.118110236220472,0.145340552864064
CHB_train_Case06_,ewDavid5T1,0.00363084806236885,26.9675731203236,8.63375009438171,3.56280300355938,0.0444444444444444,0.0166666666666667,0.0242424242424242
CHB_train_Case06_,sysu,0.251950205301947,40.0124980474851,3.32467351756924,1.4352704251868,0.511111111111111,0.816091954022989,0.628560431100847
CHB_train_Case07_,ewDavid,0.488979181685126,54.8110390341216,4.54321425218769,0.320741667620386,0.5,0.216216216216216,0.30188679245283
CHB_train_Case07_,ewDavid5,0.524919494480181,30.3067649213835,1.17647472006623,0.419110435668141,0.464285714285714,0.588235294117647,0.518962075848303
CHB_train_Case07_,ewDavidT1,0.14284129444676,45.5796007003133,6.79582164087154,1.20345706015219,0.321428571428571,0.164705882352941,0.217804667242869
CHB_train_Case07_,ewDavid5T1,0.00255534471853257,39.5758764906098,9.9901109018904,3.62396436094602,0.142857142857143,0.0414507772020725,0.0642570281124498
CHB_train_Case07_,sysu,0.411839416864542,25.1992063367083,1.67801443731479,0.888762591188842,0.642857142857143,0.841269841269841,0.728800611153552
CHB_train_Case08_,ewDavid,0.514833292046997,34.554305086342,1.30164407951053,0.17639849310301,0.493670886075949,0.43,0.459640948334932
CHB_train_Case08_,ewDavid5,0.422745418648947,37.8747937288112,1.54863205917804,0.5426219394311,0.30379746835443,0.703703703703704,0.424383434155421
